topic_id,doc1_id,doc2_id,pair_type
6,clueweb12-1111wb-40-06507,clueweb12-1109wb-74-00016,contradiction
6,clueweb12-0301wb-77-11814,clueweb12-0205wb-72-13806,contradiction
6,clueweb12-0200wb-97-23229,clueweb12-0108wb-50-22369,contradiction
8,clueweb12-0410wb-03-00923,clueweb12-1401wb-53-00013,contradiction
11,clueweb12-1304wb-87-02645,clueweb12-0607wb-68-12056,contradiction
12,clueweb12-0210wb-20-04874,clueweb12-0301wb-01-32501,contradiction
12,clueweb12-0916wb-34-17660,clueweb12-0105wb-43-33087,contradiction
12,clueweb12-1810wb-98-08904,clueweb12-0106wb-31-02046,contradiction
12,clueweb12-0509wb-74-32259,clueweb12-0105wb-79-27669,contradiction
12,clueweb12-1200wb-36-12817,clueweb12-0200wb-51-05028,contradiction
12,clueweb12-1807wb-48-27907,clueweb12-1000tw-73-07144,contradiction
12,clueweb12-0500wb-20-17650,clueweb12-1909wb-74-12449,contradiction
12,clueweb12-1808wb-25-15432,clueweb12-0909wb-95-26602,contradiction
12,clueweb12-1314wb-90-14375,clueweb12-1908wb-13-06854,contradiction
12,clueweb12-0002wb-62-28714,clueweb12-1403wb-22-19963,contradiction
13,clueweb12-1906wb-69-03989,clueweb12-1116wb-71-15203,contradiction
13,clueweb12-0308wb-15-27360,clueweb12-0007wb-12-02015,contradiction
13,clueweb12-1006wb-83-24746,clueweb12-0009wb-15-29210,contradiction
16,clueweb12-0602wb-77-13793,clueweb12-1200wb-96-02660,contradiction
16,clueweb12-0913wb-42-25192,clueweb12-0402wb-49-14077,contradiction
16,clueweb12-1708wb-47-12189,clueweb12-0608wb-38-24190,contradiction
20,clueweb12-0103wb-27-27063,clueweb12-0200wb-17-01262,contradiction
28,clueweb12-0000wb-78-12440,clueweb12-1402wb-48-02124,contradiction
29,clueweb12-0508wb-19-18709,clueweb12-1814wb-32-08354,contradiction
29,clueweb12-0700wb-29-00379,clueweb12-0303wb-80-29345,contradiction
29,clueweb12-1704wb-04-15782,clueweb12-0105wb-96-11619,contradiction
38,clueweb12-0203wb-41-02695,clueweb12-1205wb-37-04000,contradiction
38,clueweb12-0203wb-49-10559,clueweb12-1500wb-75-31521,contradiction
38,clueweb12-1106wb-88-01583,clueweb12-1406wb-87-08360,contradiction
38,clueweb12-1208wb-68-14137,clueweb12-1205wb-37-04071,contradiction
38,clueweb12-0501wb-11-10538,clueweb12-1407wb-89-19756,contradiction
38,clueweb12-0501wb-23-25120,clueweb12-1500wb-91-24876,contradiction
38,clueweb12-0910wb-30-09851,clueweb12-1209wb-13-06828,contradiction
40,clueweb12-0607wb-17-24281,clueweb12-0400wb-24-05944,contradiction
40,clueweb12-0608wb-76-27217,clueweb12-0013wb-78-30990,contradiction
41,clueweb12-0002wb-73-24819,clueweb12-1900tw-13-03775,contradiction
41,clueweb12-1411wb-24-13153,clueweb12-1507wb-40-05896,contradiction
41,clueweb12-1001wb-00-05016,clueweb12-0108wb-66-28923,contradiction
41,clueweb12-0305wb-76-02774,clueweb12-1608wb-51-25863,contradiction
41,clueweb12-1906wb-43-05388,clueweb12-0910wb-12-25299,contradiction
41,clueweb12-0300wb-40-04771,clueweb12-1206wb-82-12198,contradiction
42,clueweb12-0303wb-86-34251,clueweb12-1508wb-70-04632,contradiction
44,clueweb12-0610wb-64-09250,clueweb12-0005wb-86-07578,contradiction
44,clueweb12-1210wb-41-19460,clueweb12-0206wb-49-27223,contradiction
44,clueweb12-1206wb-25-03690,clueweb12-0913wb-75-15867,contradiction
47,clueweb12-0911wb-87-12938,clueweb12-0203wb-66-09517,contradiction
47,clueweb12-1508wb-57-18566,clueweb12-0713wb-27-19280,contradiction
49,clueweb12-1105wb-10-01555,clueweb12-1905wb-87-08250,contradiction
50,clueweb12-0701wb-01-03973,clueweb12-0101wb-74-06021,contradiction
102,c4-1680-103348,c4-4370-069073,contradiction
102,c4-5711-005632,c4-2964-028884,contradiction
102,c4-1255-016544,c4-2996-034113,contradiction
102,c4-2189-061598,c4-3875-082253,contradiction
102,c4-4397-138198,c4-2893-062456,contradiction
102,c4-0991-034481,c4-4803-036329,contradiction
102,c4-3362-080269,c4-4560-073420,contradiction
102,c4-3250-127418,c4-3455-002461,contradiction
102,c4-1877-120055,c4-3132-056327,contradiction
102,c4-2559-086163,c4-3120-057146,contradiction
102,c4-1369-011228,c4-4834-054817,contradiction
102,c4-0996-032193,c4-3234-089237,contradiction
102,c4-4054-017837,c4-4575-097694,contradiction
102,c4-1325-082551,c4-4412-136449,contradiction
102,c4-0202-019368,c4-6908-111563,contradiction
102,c4-6086-050909,c4-4272-119320,contradiction
102,c4-1596-142511,c4-6798-124415,contradiction
102,c4-6201-029774,c4-7031-093859,contradiction
102,c4-0586-036215,c4-0558-012367,contradiction
102,c4-2342-101009,c4-6586-029104,contradiction
102,c4-5653-005337,c4-1612-070278,contradiction
102,c4-1087-052375,c4-3202-059992,contradiction
102,c4-5790-031219,c4-6955-054669,contradiction
102,c4-5785-056330,c4-4618-035174,contradiction
102,c4-3089-087032,c4-5774-088862,contradiction
102,c4-7104-070107,c4-5613-077083,contradiction
102,c4-5963-049262,c4-3430-042790,contradiction
102,c4-0841-005766,c4-3021-051121,contradiction
102,c4-0301-116256,c4-5597-005619,contradiction
103,c4-3440-147288,c4-2612-128817,contradiction
103,c4-4204-042098,c4-3610-048770,contradiction
103,c4-3318-040801,c4-7012-101137,contradiction
103,c4-2898-022516,c4-1840-056677,contradiction
103,c4-4847-048223,c4-6755-140339,contradiction
103,c4-6957-002103,c4-6746-077729,contradiction
103,c4-2400-073045,c4-3823-144460,contradiction
103,c4-5085-037501,c4-5825-047791,contradiction
103,c4-0299-146812,c4-6061-030427,contradiction
103,c4-2171-039969,c4-5964-039091,contradiction
103,c4-1312-057859,c4-6165-010154,contradiction
103,c4-6344-091761,c4-1149-056930,contradiction
103,c4-5259-087618,c4-5636-095365,contradiction
103,c4-5183-088901,c4-3371-034856,contradiction
103,c4-6288-106789,c4-2275-078013,contradiction
103,c4-3051-018667,c4-3342-100096,contradiction
103,c4-5020-056629,c4-6467-125883,contradiction
103,c4-4798-124286,c4-3525-126160,contradiction
103,c4-0245-143973,c4-2435-033630,contradiction
103,c4-3691-086238,c4-3533-018498,contradiction
103,c4-7061-010463,c4-1550-062100,contradiction
103,c4-3400-096056,c4-0300-104925,contradiction
103,c4-4112-128345,c4-6575-064794,contradiction
103,c4-0657-039094,c4-3335-077444,contradiction
103,c4-0515-142391,c4-0150-011885,contradiction
103,c4-1636-125875,c4-5812-135060,contradiction
103,c4-3333-113020,c4-0585-024341,contradiction
104,c4-4673-080820,c4-5526-131175,contradiction
104,c4-5164-092253,c4-5489-101818,contradiction
105,c4-0805-073576,c4-3514-100705,contradiction
105,c4-3061-023532,c4-5364-007055,contradiction
105,c4-0877-076853,c4-3044-103696,contradiction
105,c4-6269-025606,c4-4566-030122,contradiction
105,c4-2135-103654,c4-3509-008606,contradiction
105,c4-4645-111074,c4-1692-118775,contradiction
105,c4-0288-081297,c4-0485-093983,contradiction
105,c4-1137-119883,c4-0700-112991,contradiction
105,c4-7052-005072,c4-4169-144600,contradiction
105,c4-1966-009118,c4-0084-068540,contradiction
105,c4-4058-083976,c4-0392-071532,contradiction
105,c4-3425-101426,c4-2557-134888,contradiction
105,c4-3713-006073,c4-0531-034919,contradiction
105,c4-3214-025288,c4-5063-141777,contradiction
105,c4-7020-005301,c4-6622-091009,contradiction
105,c4-6540-075114,c4-2745-060349,contradiction
105,c4-0231-103636,c4-6445-106936,contradiction
105,c4-6523-023469,c4-5326-042307,contradiction
105,c4-1107-097840,c4-1123-041317,contradiction
105,c4-3235-082589,c4-2883-111120,contradiction
105,c4-6812-130239,c4-6337-138044,contradiction
105,c4-4294-135167,c4-6661-102447,contradiction
105,c4-2498-041847,c4-0919-107494,contradiction
105,c4-4024-008020,c4-1944-085630,contradiction
105,c4-4014-032679,c4-6846-025452,contradiction
105,c4-2921-102608,c4-0000-033687,contradiction
105,c4-2458-096387,c4-6869-110665,contradiction
105,c4-6415-078272,c4-3314-070192,contradiction
105,c4-5448-083704,c4-1675-131063,contradiction
105,c4-2199-095708,c4-2467-131116,contradiction
105,c4-5010-134079,c4-6422-029535,contradiction
107,c4-3748-066985,c4-6602-075728,contradiction
107,c4-4472-078569,c4-5182-071483,contradiction
107,c4-6038-103266,c4-6005-070710,contradiction
107,c4-6100-073853,c4-0042-021101,contradiction
107,c4-2829-019399,c4-0287-096593,contradiction
107,c4-6860-130760,c4-2745-107520,contradiction
107,c4-5358-095802,c4-1534-123713,contradiction
107,c4-6399-034371,c4-4537-141653,contradiction
108,c4-0621-126341,c4-1808-010293,contradiction
108,c4-0847-120896,c4-6150-142384,contradiction
108,c4-0544-095502,c4-5429-048306,contradiction
109,c4-0315-039266,c4-1158-106659,contradiction
109,c4-0359-130536,c4-6435-010717,contradiction
109,c4-3432-046951,c4-0529-033801,contradiction
109,c4-1471-034347,c4-5652-021510,contradiction
109,c4-6153-117825,c4-1450-105204,contradiction
109,c4-3259-144468,c4-1928-125443,contradiction
109,c4-5767-137281,c4-1212-090753,contradiction
109,c4-7067-071344,c4-0324-090009,contradiction
109,c4-0597-060376,c4-1580-055019,contradiction
109,c4-1220-044004,c4-0659-147903,contradiction
109,c4-5482-110108,c4-3923-033603,contradiction
109,c4-0470-001506,c4-1268-008187,contradiction
